"dictor";"number.of.syllables";"duration";"start";"end";"type"
"D7";25;4637;14,385;19,022;"prose"
"D7";6;1091;19,227;20,318;"prose"
"D7";5;1114;20,545;21,659;"prose"
"D7";4;1227;21,772;22,999;"prose"
"D7";20;5431;23,295;28,726;"prose"
"D7";16;3091;28,772;31,863;"prose"
"D7";8;2182;32,294;34,476;"prose"
"D7";6;1147;34,749;35,896;"prose"
"D7";6;1063;35,94;37,003;"prose"
"D7";25;4439;37,019;41,458;"prose"
"D7";15;3969;41,857;45,826;"prose"
"D7";9;1898;46,03;47,928;"prose"
"D7";8;1918;48,275;50,193;"prose"
"D7";3;744;50,204;50,948;"prose"
"D7";13;2663;51,163;53,826;"prose"
"D7";6;1194;54,277;55,471;"prose"
"D8";10;2290;4,89;7,18;"prose"
"D8";3;829,999999999999;7,95;8,78;"prose"
"D8";13;3080;9,72;12,8;"prose"
"D8";7;1230;13,84;15,07;"prose"
"D8";7;1420;15,9;17,32;"prose"
"D8";8;1640;17,63;19,27;"prose"
"D8";25;5027;20,472;25,499;"prose"
"D8";6;1149;25,85;26,999;"prose"
"D8";5;1082;27,512;28,594;"prose"
"D8";5;1459;29,216;30,675;"prose"
"D8";2;1122;31,35;32,472;"prose"
"D8";9;2282,99999999999;32,77;35,053;"prose"
"D8";7;2973;35,31;38,283;"prose"
"D8";8;1703;39,242;40,945;"prose"
"D8";9;1797;41,972;43,769;"prose"
"D8";14;2919;44,836;47,755;"prose"
"D8";6;1243;49,053;50,296;"prose"
"D8";20;5392;50,499;55,891;"prose"
"D8";24;6567;56,77;63,337;"prose"
"D8";1;838,000000000001;63,701;64,539;"prose"
"D8";7;1919;64,62;66,539;"prose"
"D8";3;891,999999999996;66,674;67,566;"prose"
"D8";4;1271;68,053;69,324;"prose"
"D8";4;1433,00000000001;69,607;71,04;"prose"
"D8";5;1122;71,107;72,229;"prose"
"D8";6;1122;72,364;73,486;"prose"
"D9";10;1720;2,11;3,83;"prose"
"D9";3;750;3,86;4,61;"prose"
"D9";15;3490;4,98;8,47;"prose"
"D9";7;1080;9,93;11,01;"prose"
"D9";7;1131;11,02;12,151;"prose"
"D9";6;979,000000000001;12,267;13,246;"prose"
"D9";25;4281;14,233;18,514;"prose"
"D9";6;968;19,375;20,343;"prose"
"D9";5;1063;20,718;21,781;"prose"
"D9";4;1047;22,531;23,578;"prose"
"D9";2;827,999999999999;23,984;24,812;"prose"
"D9";9;1860;25,124;26,984;"prose"
"D9";2;828,000000000003;27,156;27,984;"prose"
"D9";5;1062;28,39;29,452;"prose"
"D9";16;2922;30,718;33,64;"prose"
"D9";8;1734;34,327;36,061;"prose"
"D9";6;1047;36,108;37,155;"prose"
"D9";6;1188;37,764;38,952;"prose"
"D9";19;4297;39,108;43,405;"prose"
"D9";7;1229;44,625;45,854;"prose"
"D9";10;2180;45,859;48,039;"prose"
"D9";9;1682;48,071;49,753;"prose"
"D9";11;2060;50,79;52,85;"prose"
"D9";4;859,000000000002;53,562;54,421;"prose"
"D9";9;1571,00000000001;54,428;55,999;"prose"
"D9";6;1047;56,348;57,395;"prose"
