"dictor";"number.of.syllables";"duration";"start";"end";"type"
"D2";9;2777;53,669;56,446;"verse"
"D2";9;2894;56,902;59,796;"verse"
"D2";9;3809;60,29;64,099;"verse"
"D2";9;2521;64,401;66,922;"verse"
"D2";8;2605,99999999999;67,73;70,336;"verse"
"D2";8;2435,99999999999;71,102;73,538;"verse"
"D2";8;2681;74,006;76,687;"verse"
"D2";9;2521;77,181;79,702;"verse"
"D2";9;4607;80,988;85,595;"verse"
"D2";9;3277;85,978;89,255;"verse"
"D2";9;3713,00000000001;89,743;93,456;"verse"
"D2";8;3807,99999999999;95,265;99,073;"verse"
"D3";9;2720;3,26;5,98;"verse"
"D3";11;3290;7,1;10,39;"verse"
"D3";9;3130;10,67;13,8;"verse"
"D3";9;2410;14,74;17,15;"verse"
"D3";9;2840;18,3;21,14;"verse"
"D3";9;2660;22;24,66;"verse"
"D3";9;2590;25,53;28,12;"verse"
"D3";8;2570;28,94;31,51;"verse"
"D3";11;4250;33,05;37,3;"verse"
"D3";9;3020;37,87;40,89;"verse"
"D3";9;2795;41,375;44,17;"verse"
"D3";8;3020;44,76;47,78;"verse"
"D3";8;2370;48,59;50,96;"verse"
"D3";9;2660;51,59;54,25;"verse"
"D3";8;2550;54,84;57,39;"verse"
"D3";9;2630;58;60,63;"verse"
"D3";9;2470;61,58;64,05;"verse"
"D3";9;2830,00000000001;64,6;67,43;"verse"
"D3";9;3080;68,04;71,12;"verse"
"D3";9;2690;71,4;74,09;"verse"
"D3";11;3060;74,8;77,86;"verse"
"D3";9;3150,00000000001;79,03;82,18;"verse"
"D3";8;2430,00000000001;82,77;85,2;"verse"
"D3";9;2820,00000000001;85,88;88,7;"verse"
"D3";9;2690;89,78;92,47;"verse"
"D3";9;3010,00000000001;93,1;96,11;"verse"
"D3";9;3370;96,6;99,97;"verse"
"D3";9;3690;101,11;104,8;"verse"
"D4";9;2430;3,82;6,25;"verse"
"D4";9;2210;6,54;8,75;"verse"
"D4";9;2630;9,05;11,68;"verse"
"D4";9;2640;11,98;14,62;"verse"
"D4";9;2300;15,135;17,435;"verse"
"D4";9;2230;17,84;20,07;"verse"
"D4";9;2160;20,44;22,6;"verse"
"D4";8;2210;22,915;25,125;"verse"
"D4";9;2530;25,625;28,155;"verse"
"D4";8;2050;28,48;30,53;"verse"
"D4";9;2500;31,01;33,51;"verse"
"D4";8;2450;33,885;36,335;"verse"
"D4";9;2480;36,86;39,34;"verse"
"D4";9;2400;39,585;41,985;"verse"
"D4";9;2400;42,33;44,73;"verse"
"D4";9;2580;44,975;47,555;"verse"
"D4";9;2400,00000000001;48,16;50,56;"verse"
"D4";9;2180;51,005;53,185;"verse"
"D4";9;2190;53,56;55,75;"verse"
"D4";9;2500;56,05;58,55;"verse"
